when,accuracy,TPR,FPR,FNR,avg_IoU,avg_runtime,pyramid_levels,scale_factors,threshold,metric,cv_bbox_method,filter_nested
2024-04-22 09:19:33,0.85,0.00,0.07,1.00,0.01,1.65,5,variable,variable,ssd,False,True
2024-04-22 09:34:42,0.92,0.13,0.00,0.87,0.98,8.53,5,variable,variable,mcc,False,True
2024-04-22 10:06:52,0.90,0.00,0.01,1.00,0.03,16.29,3,1,0.15,ssd,False,True
2024-04-22 10:18:11,0.91,0.00,0.00,1.00,0,10.06,2,variable,variable,ssd,False,True
2024-04-22 10:34:46,0.91,0.00,0.01,1.00,0.03,49.72,3,variable,variable,ssd,False,True
2024-04-22 10:37:16,0.82,0.03,0.10,0.97,0.20,7.43,4,variable,variable,ssd,False,True
2024-04-22 10:37:52,0.85,0.00,0.07,1.00,0.01,1.80,5,variable,variable,ssd,False,True
2024-04-22 10:40:41,0.92,0.13,0.00,0.87,0.98,8.45,5,variable,variable,mcc,False,True
2024-04-22 10:56:42,1.00,0.99,0.00,0.01,0.96,33.19,4,variable,variable,mcc,False,True
2024-04-22 11:08:00,0.91,0.01,0.00,0.99,0.96,2.04,5,1,0.05,mcc,False,True
2024-04-22 11:08:49,0.92,0.11,0.00,0.89,0.98,2.42,5,1,0.10,mcc,False,True
2024-04-22 11:09:39,0.92,0.13,0.00,0.87,0.98,2.53,5,1,0.15,mcc,False,True
2024-04-22 11:10:30,0.92,0.13,0.01,0.87,0.78,2.53,5,1,0.20,mcc,False,True
2024-04-22 11:16:31,0.92,0.08,0.00,0.92,0.97,5.85,4,1,0.05,mcc,False,True
2024-04-22 11:18:56,0.96,0.60,0.01,0.40,0.96,7.21,4,1,0.10,mcc,False,True
2024-04-22 11:21:33,0.99,0.91,0.00,0.09,0.96,7.87,4,1,0.15,mcc,False,True
2024-04-22 11:24:36,0.97,0.82,0.01,0.18,0.97,9.11,4,1,0.20,mcc,False,True
2024-04-22 11:25:17,0.91,0.00,0.00,1.00,0,2.05,3,1,0.05,mcc,False,True
2024-04-22 11:25:56,0.91,0.00,0.00,1.00,0,1.93,3,1,0.10,mcc,False,True
2024-04-22 11:26:35,0.91,0.00,0.00,1.00,0,1.94,3,1,0.15,mcc,False,True
2024-04-22 11:27:16,0.91,0.00,0.00,1.00,0,2.03,3,1,0.20,mcc,False,True
